X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7911640.88003471,5203313.66208014,C32084,Washington St at Fuller St,42.28198628,-71.07147925,Boston,Yes,15,202
-7912482.29285865,5211308.57027559,C32005,Washington St at Lenox St,42.33509899,-71.07903779,Boston,Yes,15,203
-7912722.76633586,5210964.92993577,B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,19,204
-7913029.37360935,5218336.50887128,S32021,Washington St at Myrtle St,42.3817508,-71.0839523,Somerville,Yes,15,205
-7911129.70649896,5212503.42057361,C32067,Washington St at Peters Park,42.34303291,-71.0668873,Boston,Yes,19,206
-7911926.03381594,5211822.94349877,C32006,Washington St at Rutland St,42.3385146,-71.07404083,Boston,Yes,27,207
-7911677.25367832,5204569.62396511,C32038,Washington St at Talbot Ave,42.290333,-71.071806,Boston,Yes,17,208
-7926799.30630299,5213772.42435137,N32014,Washington St at Walnut St,42.35145812,-71.20764971,Newton,Yes,11,209
-7911426.80040877,5202592.73045576,C32083,Washington St at Walsh Playground,42.2771947,-71.06955614,Boston,Yes,19,210
-7911354.24904384,5212283.80549365,D32002,Washington St at Waltham St,42.34157472,-71.0689044,Boston,Yes,15,211
-7908770.31883467,5213791.68692688,C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Boston,Yes,15,212
-7924359.57602261,5215851.6771434,W32002,Watertown Sq,42.36526032,-71.18573324,Watertown,Yes,15,213
-7927486.41806755,5214170.99351999,N32006,Watertown St at Albemarle Rd,42.35410408,-71.21382214,Newton,Yes,11,214
-7924604.78614415,5216207.35100979,W32005,Watertown Town Hall,42.367621,-71.187936,Watertown,Yes,11,215
-7912114.27396167,5221444.11469673,V32014,Wellington MBTA,42.4023682,-71.07573182,Everett,Yes,19,216
-7914400.68279419,5211683.099876,B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Boston,Yes,14,217
-7910860.24542635,5215949.24099302,D32022,West End Park,42.36590788,-71.06446669,Boston,Yes,35,218
-7928872.66076209,5213492.61530888,N32005,West Newton,42.3496005,-71.22627497,Newton,Yes,14,219
-7919706.18419693,5215328.45248784,A32043,Western Ave at Richardson St,42.36178741,-71.14393111,Boston,Yes,0,220
-7913946.23655776,5210971.83879098,B32059,Whittier St Health Center,42.33286288,-71.09218862,Boston,Yes,19,221
-7915669.50457664,5207008.67620129,D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,23,222
-7916387.77800626,5218928.03350598,S32005,Wilson Square,42.38567579,-71.11412136,Somerville,Yes,15,223
-7910292.55053235,5213757.04203505,D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19,224
-7910661.24068586,5213915.65642609,D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19,225
-7913237.70469678,5212598.74346825,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19,226
-7913893.98875475,5205579.16133862,C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Boston,Yes,19,227
-7918427.66760003,5222037.16189525,S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,15,228
-7912101.45106953,5213793.28662016,D32047,Clarendon St at Newbury St,42.35159662,-71.07561663,Boston,Yes,13,229
-7917536.44375674,5199344.31471842,C32104,Cleary Sq,42.2556,-71.12444,Boston,Yes,16,230
-7920450.25369215,5211375.44635567,B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15,231
