,Unnamed: 0,electricity-kWh,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
103,2012-04-21,5565.28149596602,2012-04-21,2012-04-22,69.625,17.6666666666667,11.55,1000.0,258.166666666667,192.916666666667,5.28935608333333,0.00861115159374768,5.66666666666667,0.666666666666667,0.000213167912728194,0.5
104,2012-04-22,5481.69388735853,2012-04-22,2012-04-23,87.625,10.7083333333333,8.65,999.5,33.875,118.75,5.60185633333333,0.00720610402578435,1.16666666666667,4.54166666666667,0.00026784724627815,0.5
105,2012-04-23,6885.35477678385,2012-04-23,2012-04-24,88.2083333333333,13.125,11.0625,986.291666666667,56.0833333333333,152.083333333333,6.14583825,0.00865290793537489,2.04166666666667,2.45833333333333,0.000850836834803366,1.0
106,2012-04-24,6999.26604533289,2012-04-24,2012-04-25,56.7916666666667,10.5,1.6875,991.75,200.5,206.666666666667,6.94445,0.00443690771199233,0.25,4.5,0.0,1.0
107,2012-04-25,7286.28397618234,2012-04-25,2012-04-26,50.2916666666667,11.3333333333333,0.25,999.875,245.458333333333,242.5,5.23148566666667,0.00396395292172754,1.125,3.875,0.0,1.0
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,2012-04-29,6007.98372861091,2012-04-29,2012-04-30,24.3333333333333,10.125,-9.54583333333333,1010.08333333333,348.208333333333,319.166666666667,5.32407833333333,0.00179193313909522,0.5,4.875,0.0,0.5
112,2012-04-30,7238.46893657651,2012-04-30,2012-05-01,39.0833333333333,9.375,-4.2125,1015.875,328.0,210.416666666667,4.80324458333333,0.00291056324544437,0.0,5.625,0.0,1.0
113,2012-05-01,7220.29734890722,2012-05-01,2012-05-02,84.7916666666667,8.16666666666667,5.475,1011.95833333333,22.125,115.833333333333,5.37037466666667,0.00564039048424462,0.0,6.83333333333333,0.0,1.0
114,,,,,,,,,,,,,,,,
115,2012-05-03,6573.69578014035,2012-05-03,2012-05-04,91.5,8.75,7.4,1013.08333333333,60.2916666666667,114.166666666667,3.194447,0.0063657549315704,0.0,6.25,0.0,1.0
116,,,,,,,,,,,,,,,,
