pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price
0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16,42.358242,-71.06506,20 Mount Vernon St #4C Boston 02108,2108,,1,,0,1800
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356266,-71.070145,71 Beacon St #E Boston 02108,2108,2,2,,0,5200
0,0,0,0,0,0,0,10704800,0,0,0,0,0,0,0,5,0,7,0,260.9,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.252857,-71.11705,21 Beacon St #5HH Boston 02108,2108,2,2,,0,3475
0,0.007,47.61,1.75,0,1.369,11.12,216805996,0,0,0,0,0,0,0,11,0,29,10,0,11.12,0.391,0,41,19,4.051,0,0,0,3.799,0,0.352,0.115,0,0,0,3,27.67,42.35814,-71.0659,34 Mount Vernon St #9B Boston 02108,2108,,1,,0,2025
0,0.018,23.85,7.066,0,1.619,0.236,120456350,0,0,0,0,0,0.224,0,3,0,21,3,0,0.236,5.788,0.27,35,5,2.553,0,0,0,2.429,0,0.248,0.707,0.15,0,0,0,13.28,42.357105,-71.071106,20 Lime St #41 Boston 02108,2108,2,1.5,900,83.6127,3500
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.35761,-71.0698,Beacon Hill Boston 02108,2108,2,1,,0,2900
0,0,43.3,3.583,0,2.257,4.928,18049700,0,0,0,0,0,0,1.742,5,0,11,0,212.2,4.928,2.022,0.39,10,0,2.738,0,0.017,0.653,2.387,0.022,0.075,1.17,0,0,0,0,10.64,42.303974,-71.07125,Dorchester Boston 02108,2108,1,1,570,52.95471,2050
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356773,-71.06997,Beacon Hill Boston 02108,2108,2,1,797,74.043691,3850
0,0.366,0.9,0.988,0,0,0.028,13676500,0,0,0,0,0,0.543,0,0,0,36,11,197,0.028,14.75,0,51,22,0.701,0,0,0.075,0.593,0,0.081,0,0.057,0,0,0,67.45,42.3574,-71.064964,Beacon Hill Boston 02108,2108,2,2,,0,3475
0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16,42.358242,-71.06506,Beacon Hill Boston 02108,2108,,1,,0,1800
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356266,-71.070145,Beacon Hill Boston 02108,2108,2,2,1500,139.3545,5200
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356266,-71.070145,Beacon Hill Boston 02108,2108,2,2,,0,5200
